d_id,d_title,d_name,u_id,u_name,u_age,rating,age_limit
74,The Science of Sleep,Michel Gondry,6,Megan,41,1,15
75,Se7en,David Fincher,14,Angela,58,3,7
75,Se7en,David Fincher,36,Christopher,22,1,7
76,Milk,Gus Van Sant,6,Megan,41,3,15
76,Milk,Gus Van Sant,7,Matthew,29,1,15
77,My Neighbors the Yamadas,Isao Takahata,27,Billy,27,3,7
77,My Neighbors the Yamadas,Isao Takahata,15,Amber,34,3,7
78,Mr. Smith Goes to Washington,Frank Capra,37,Christine,58,5,19
78,Mr. Smith Goes to Washington,Frank Capra,14,Angela,58,2,19
79,My Father and My Son,Mehmet Ada Öztekin,50,Martin,28,5,19
79,My Father and My Son,Mehmet Ada Öztekin,20,Kelly,33,1,19
80,The Handmaiden,Chan-wook Park,46,Ashley,26,1,19
80,The Handmaiden,Chan-wook Park,33,Frank,36,4,19
81,Black Swan,Darren Aronofsky,42,Gary,19,4,7
81,Black Swan,Darren Aronofsky,38,Barbara,47,4,7
82,Rashomon,Akira Kurosawa,20,Kelly,33,4,15
82,Rashomon,Akira Kurosawa,28,Sarah,33,4,15
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,9,Christopher,55,3,19
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,14,Angela,58,3,19
84,Irudhi Suttru,Sudha Kongara,8,James,33,5,18
84,Irudhi Suttru,Sudha Kongara,24,Bradley,42,5,18
85,The Little Prince,Bob Persichetti,14,Angela,58,2,7
85,The Little Prince,Bob Persichetti,26,Jennifer,37,1,7
86,American Graffiti,George Lucas,2,Nichole,8,1,7
86,American Graffiti,George Lucas,49,Tiffany,23,3,7
87,Never Say Never Again,Irvin Kershner,42,Gary,19,2,15
22,"Il buono, il brutto, il cattivo",Sergio Leone,25,Zachary,8,3,7
88,Apocalypse Now,Francis Ford Coppola,38,Barbara,47,1,7
88,Apocalypse Now,Francis Ford Coppola,41,Michael,58,1,7
89,The Majestic,Frank Darabont,37,Christine,58,2,7
89,The Majestic,Frank Darabont,8,James,33,1,7
90,Samba,Olivier Nakache,36,Christopher,22,1,19
73,Toy Story 3,Lee Unkrich,2,Nichole,8,4,0
91,The Tourist,Florian Henckel von Donnersmarck,24,Bradley,42,4,15
91,The Tourist,Florian Henckel von Donnersmarck,11,Bryan,54,3,15
92,Jupiter Ascending,Lana Wachowski,26,Jennifer,37,2,19
92,Jupiter Ascending,Lana Wachowski,23,Jay,53,3,19
93,Valkyrie,Bryan Singer,24,Bradley,42,2,19
93,Valkyrie,Bryan Singer,9,Christopher,55,5,19
94,Ship of Theseus,Rahi Anil Barve,38,Barbara,47,1,15
94,Ship of Theseus,Rahi Anil Barve,46,Ashley,26,5,15
95,Pushkar,Gayatri,4,William,8,3,0
95,Pushkar,Gayatri,30,Steven,8,4,0
96,Finding Nemo,Andrew Stanton,19,Kristin,55,4,0
96,Finding Nemo,Andrew Stanton,46,Ashley,26,5,0
97,Double Indemnity,Billy Wilder,15,Amber,34,1,19
97,Double Indemnity,Billy Wilder,10,Matthew,56,3,19
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,18,Daniel,53,3,15
52,The Lives of Others,Florian Henckel von Donnersmarck,18,Daniel,53,2,12
14,2001: A Space Odyssey,Stanley Kubrick,13,Jennifer,30,4,12
81,Black Swan,Darren Aronofsky,9,Christopher,55,4,7
8,Ayla: The Daughter of War,Can Ulkay,23,Jay,53,4,12
30,Oldeuboi,Chan-wook Park,9,Christopher,55,2,15
51,The Lion King,Roger Allers,34,Victoria,54,1,0
65,Beauty and the Beast,Roger Allers,6,Megan,41,2,7
75,Se7en,David Fincher,9,Christopher,55,2,7
63,Snowpiercer,Bong Joon Ho,44,Sherry,56,3,7
20,Goodfellas,Martin Scorsese,38,Barbara,47,1,19
77,My Neighbors the Yamadas,Isao Takahata,31,Michelle,47,5,7
65,Beauty and the Beast,Roger Allers,3,Travis,21,4,7
82,Rashomon,Akira Kurosawa,23,Jay,53,3,15
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,31,Michelle,47,3,19
54,The Lord of the Rings: The Return of the King,Peter Jackson,31,Michelle,47,4,0
22,"Il buono, il brutto, il cattivo",Sergio Leone,15,Amber,34,3,7
82,Rashomon,Akira Kurosawa,41,Michael,58,5,15
35,Requiem for a Dream,Darren Aronofsky,40,Tyler,20,1,0
47,The Godfather: Part II,Francis Ford Coppola,28,Sarah,33,2,15
5,Andhadhun,Sriram Raghavan,7,Matthew,29,5,15
54,The Lord of the Rings: The Return of the King,Peter Jackson,45,Jeffrey,38,2,0
13,Django Unchained,Quentin Tarantino,1,Cory,53,5,12
32,Once Upon a Time in the West,Sergio Leone,29,Angel,36,5,19
22,"Il buono, il brutto, il cattivo",Sergio Leone,43,Richard,8,4,7
51,The Lion King,Roger Allers,26,Jennifer,37,1,0
60,WALL·E,Andrew Stanton,36,Christopher,22,2,7
26,La vita è bella,Roberto Benigni,23,Jay,53,4,7
88,Apocalypse Now,Francis Ford Coppola,20,Kelly,33,1,7
12,Coco,Lee Unkrich,40,Tyler,20,4,0
97,Double Indemnity,Billy Wilder,24,Bradley,42,1,19
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,11,Bryan,54,2,15
87,Never Say Never Again,Irvin Kershner,5,Lori,35,5,15
26,La vita è bella,Roberto Benigni,50,Martin,28,5,7
80,The Handmaiden,Chan-wook Park,5,Lori,35,4,19
5,Andhadhun,Sriram Raghavan,1,Cory,53,2,15
55,The Matrix,Lana Wachowski,2,Nichole,8,5,7
90,Samba,Olivier Nakache,5,Lori,35,5,19
2,Alien,Ridley Scott,8,James,33,1,18
29,Mononoke-hime,Hayao Miyazaki,11,Bryan,54,4,0
73,Toy Story 3,Lee Unkrich,21,Megan,40,4,0
28,Modern Times,Charles Chaplin,50,Martin,28,4,18
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,46,Ashley,26,1,19
64,Open Season,Roger Allers,37,Christine,58,1,18
28,Modern Times,Charles Chaplin,7,Matthew,29,3,18
68,Chupke Chupke,Hrishikesh Mukherjee,42,Gary,19,4,15
84,Irudhi Suttru,Sudha Kongara,44,Sherry,56,3,18
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,49,Tiffany,23,1,19
47,The Godfather: Part II,Francis Ford Coppola,44,Sherry,56,1,15
11,City Lights,Charles Chaplin,25,Zachary,8,4,7
77,My Neighbors the Yamadas,Isao Takahata,34,Victoria,54,2,7
88,Apocalypse Now,Francis Ford Coppola,12,Emma,26,1,7
96,Finding Nemo,Andrew Stanton,11,Bryan,54,1,0
5,Andhadhun,Sriram Raghavan,49,Tiffany,23,2,15
38,Shichinin no samurai,Akira Kurosawa,8,James,33,4,12
24,It's a Wonderful Life,Frank Capra,28,Sarah,33,5,19
50,The Intouchables,Olivier Nakache,22,Rachel,29,2,18
44,The Dark Knight,Christopher Nolan,15,Amber,34,2,19
20,Goodfellas,Martin Scorsese,9,Christopher,55,3,19
8,Ayla: The Daughter of War,Can Ulkay,45,Jeffrey,38,4,12
40,Soorarai Pottru,Sudha Kongara,10,Matthew,56,1,15
78,Mr. Smith Goes to Washington,Frank Capra,16,Jessica,44,4,19
55,The Matrix,Lana Wachowski,26,Jennifer,37,3,7
13,Django Unchained,Quentin Tarantino,47,Luis,32,2,12
67,Lakeview Terrace,Tony Kaye,13,Jennifer,30,5,15
9,Capharnaüm,Nadine Labaki,29,Angel,36,3,18
24,It's a Wonderful Life,Frank Capra,36,Christopher,22,1,19
11,City Lights,Charles Chaplin,43,Richard,8,1,7
35,Requiem for a Dream,Darren Aronofsky,3,Travis,21,5,0
77,My Neighbors the Yamadas,Isao Takahata,50,Martin,28,3,7
27,Miracle in cell NO.7,Mehmet Ada _ztekin,22,Rachel,29,5,15
88,Apocalypse Now,Francis Ford Coppola,16,Jessica,44,2,7
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,6,Megan,41,5,19
97,Double Indemnity,Billy Wilder,26,Jennifer,37,3,19
69,Johnny Gaddaar,Sriram Raghavan,15,Amber,34,2,15
67,Lakeview Terrace,Tony Kaye,35,John,26,1,15
19,Good Will Hunting,Gus Van Sant,11,Bryan,54,4,12
89,The Majestic,Frank Darabont,4,William,8,4,7
89,The Majestic,Frank Darabont,19,Kristin,55,1,7
56,The Shining,Stanley Kubrick,26,Jennifer,37,4,15
76,Milk,Gus Van Sant,13,Jennifer,30,1,15
87,Never Say Never Again,Irvin Kershner,24,Bradley,42,5,15
13,Django Unchained,Quentin Tarantino,9,Christopher,55,2,12
39,Snatch,Guy Ritchie,26,Jennifer,37,4,7
69,Johnny Gaddaar,Sriram Raghavan,46,Ashley,26,5,15
57,The Usual Suspects,Bryan Singer,1,Cory,53,3,0
7,Avengers: Infinity War,Anthony Russo,26,Jennifer,37,1,18
35,Requiem for a Dream,Darren Aronofsky,35,John,26,3,0
45,The Dark Knight Rises,Christopher Nolan,18,Daniel,53,4,12
32,Once Upon a Time in the West,Sergio Leone,24,Bradley,42,1,19
55,The Matrix,Lana Wachowski,13,Jennifer,30,5,7
26,La vita è bella,Roberto Benigni,15,Amber,34,2,7
85,The Little Prince,Bob Persichetti,43,Richard,8,5,7
52,The Lives of Others,Florian Henckel von Donnersmarck,24,Bradley,42,5,12
36,Saving Private Ryan,Steven Spielberg,30,Steven,8,3,0
18,Gladiator,Ridley Scott,50,Martin,28,2,15
53,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,41,Michael,58,2,18
54,The Lord of the Rings: The Return of the King,Peter Jackson,30,Steven,8,5,0
69,Johnny Gaddaar,Sriram Raghavan,21,Megan,40,2,15
23,Inglourious Basterds,Quentin Tarantino,33,Frank,36,2,15
79,My Father and My Son,Mehmet Ada Öztekin,11,Bryan,54,1,19
84,Irudhi Suttru,Sudha Kongara,22,Rachel,29,3,18
83,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,10,Matthew,56,2,19
88,Apocalypse Now,Francis Ford Coppola,30,Steven,8,1,7
35,Requiem for a Dream,Darren Aronofsky,30,Steven,8,5,0
68,Chupke Chupke,Hrishikesh Mukherjee,49,Tiffany,23,2,15
37,Sen to Chihiro no kamikakushi,Hayao Miyazaki,8,James,33,4,12
62,Mother,Bong Joon Ho,26,Jennifer,37,4,0
76,Milk,Gus Van Sant,9,Christopher,55,3,15
71,Where Do We Go Now?,Nadine Labaki,11,Bryan,54,5,12
35,Requiem for a Dream,Darren Aronofsky,15,Amber,34,4,0
29,Mononoke-hime,Hayao Miyazaki,36,Christopher,22,4,0
37,Sen to Chihiro no kamikakushi,Hayao Miyazaki,33,Frank,36,4,12
94,Ship of Theseus,Rahi Anil Barve,5,Lori,35,3,15
81,Black Swan,Darren Aronofsky,16,Jessica,44,4,7
39,Snatch,Guy Ritchie,25,Zachary,8,1,7
39,Snatch,Guy Ritchie,31,Michelle,47,5,7
56,The Shining,Stanley Kubrick,5,Lori,35,3,15
17,Gisaengchung,Bong Joon Ho,24,Bradley,42,5,18
77,My Neighbors the Yamadas,Isao Takahata,48,Frank,43,5,7
84,Irudhi Suttru,Sudha Kongara,31,Michelle,47,4,18
65,Beauty and the Beast,Roger Allers,32,John,54,3,7
24,It's a Wonderful Life,Frank Capra,20,Kelly,33,5,19
58,Tumbbad,Rahi Anil Barve,7,Matthew,29,5,15
45,The Dark Knight Rises,Christopher Nolan,35,John,26,2,12
20,Goodfellas,Martin Scorsese,45,Jeffrey,38,1,19
30,Oldeuboi,Chan-wook Park,8,James,33,5,15
79,My Father and My Son,Mehmet Ada Öztekin,24,Bradley,42,3,19
25,La vita e bella,Roberto Benigni,31,Michelle,47,1,19
82,Rashomon,Akira Kurosawa,33,Frank,36,5,15
48,The Great Dictator,Charles Chaplin,12,Emma,26,1,0
58,Tumbbad,Rahi Anil Barve,9,Christopher,55,5,15
85,The Little Prince,Bob Persichetti,21,Megan,40,3,7
17,Gisaengchung,Bong Joon Ho,5,Lori,35,2,18
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,41,Michael,58,5,15
58,Tumbbad,Rahi Anil Barve,40,Tyler,20,2,15
48,The Great Dictator,Charles Chaplin,13,Jennifer,30,5,0
70,Turkish Ice-Cream,Can Ulkay,19,Kristin,55,1,18
93,Valkyrie,Bryan Singer,18,Daniel,53,1,19
57,The Usual Suspects,Bryan Singer,23,Jay,53,2,0
86,American Graffiti,George Lucas,48,Frank,43,4,7
38,Shichinin no samurai,Akira Kurosawa,35,John,26,2,12
35,Requiem for a Dream,Darren Aronofsky,8,James,33,2,0
73,Toy Story 3,Lee Unkrich,42,Gary,19,5,0
9,Capharnaüm,Nadine Labaki,41,Michael,58,3,18
41,Spider-Man: Into the Spider-Verse,Bob Persichetti,20,Kelly,33,1,15
58,Tumbbad,Rahi Anil Barve,23,Jay,53,5,15
37,Sen to Chihiro no kamikakushi,Hayao Miyazaki,28,Sarah,33,3,12
79,My Father and My Son,Mehmet Ada Öztekin,3,Travis,21,4,19
61,Witness for the Prosecution,Billy Wilder,16,Jessica,44,5,7
33,Paths of Glory,Stanley Kubrick,16,Jessica,44,5,18
40,Soorarai Pottru,Sudha Kongara,50,Martin,28,1,15
72,Yankee Doodle Dandy,Michael Curtiz,41,Michael,58,4,19
24,It's a Wonderful Life,Frank Capra,7,Matthew,29,5,19
97,Double Indemnity,Billy Wilder,12,Emma,26,4,19
6,Avengers: Endgame,Anthony Russo,27,Billy,27,2,15
35,Requiem for a Dream,Darren Aronofsky,50,Martin,28,4,0
21,Hotaru no haka,Isao Takahata,22,Rachel,29,3,18
84,Irudhi Suttru,Sudha Kongara,5,Lori,35,2,18
67,Lakeview Terrace,Tony Kaye,5,Lori,35,2,15
7,Avengers: Infinity War,Anthony Russo,23,Jay,53,5,18
62,Mother,Bong Joon Ho,2,Nichole,8,5,0
7,Avengers: Infinity War,Anthony Russo,50,Martin,28,2,18
22,"Il buono, il brutto, il cattivo",Sergio Leone,2,Nichole,8,4,7
50,The Intouchables,Olivier Nakache,9,Christopher,55,3,18
95,Pushkar,Gayatri,14,Angela,58,2,0
26,La vita è bella,Roberto Benigni,48,Frank,43,5,7
2,Alien,Ridley Scott,13,Jennifer,30,1,18
70,Turkish Ice-Cream,Can Ulkay,20,Kelly,33,3,18
49,The Green Mile,Frank Darabont,16,Jessica,44,5,12
95,Pushkar,Gayatri,30,Steven,8,3,0
53,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,10,Matthew,56,5,18
54,The Lord of the Rings: The Return of the King,Peter Jackson,21,Megan,40,4,0
59,Vikram Vedha,Gayatri,33,Frank,36,5,19
97,Double Indemnity,Billy Wilder,34,Victoria,54,1,19
8,Ayla: The Daughter of War,Can Ulkay,10,Matthew,56,4,12
79,My Father and My Son,Mehmet Ada Öztekin,9,Christopher,55,2,19
75,Se7en,David Fincher,46,Ashley,26,3,7
74,The Science of Sleep,Michel Gondry,28,Sarah,33,2,15
16,Fight Club,David Fincher,29,Angel,36,3,18
77,My Neighbors the Yamadas,Isao Takahata,9,Christopher,55,4,7
77,My Neighbors the Yamadas,Isao Takahata,4,William,8,2,7
32,Once Upon a Time in the West,Sergio Leone,35,John,26,2,19
13,Django Unchained,Quentin Tarantino,24,Bradley,42,4,12
78,Mr. Smith Goes to Washington,Frank Capra,7,Matthew,29,3,19
49,The Green Mile,Frank Darabont,49,Tiffany,23,2,12
94,Ship of Theseus,Rahi Anil Barve,21,Megan,40,2,15
29,Mononoke-hime,Hayao Miyazaki,15,Amber,34,2,0
69,Johnny Gaddaar,Sriram Raghavan,18,Daniel,53,2,15
28,Modern Times,Charles Chaplin,15,Amber,34,2,18
91,The Tourist,Florian Henckel von Donnersmarck,20,Kelly,33,1,15
91,The Tourist,Florian Henckel von Donnersmarck,32,John,54,2,15
87,Never Say Never Again,Irvin Kershner,32,John,54,3,15
96,Finding Nemo,Andrew Stanton,3,Travis,21,5,0
88,Apocalypse Now,Francis Ford Coppola,3,Travis,21,3,7
97,Double Indemnity,Billy Wilder,21,Megan,40,1,19
33,Paths of Glory,Stanley Kubrick,15,Amber,34,3,18
55,The Matrix,Lana Wachowski,9,Christopher,55,3,7
74,The Science of Sleep,Michel Gondry,29,Angel,36,5,15
25,La vita e bella,Roberto Benigni,37,Christine,58,5,19
55,The Matrix,Lana Wachowski,2,Nichole,8,1,7
5,Andhadhun,Sriram Raghavan,23,Jay,53,3,15
95,Pushkar,Gayatri,42,Gary,19,2,0
11,City Lights,Charles Chaplin,4,William,8,2,7
72,Yankee Doodle Dandy,Michael Curtiz,20,Kelly,33,1,19
96,Finding Nemo,Andrew Stanton,7,Matthew,29,2,0
93,Valkyrie,Bryan Singer,20,Kelly,33,1,19
85,The Little Prince,Bob Persichetti,11,Bryan,54,3,7
48,The Great Dictator,Charles Chaplin,33,Frank,36,1,0
58,Tumbbad,Rahi Anil Barve,29,Angel,36,1,15
29,Mononoke-hime,Hayao Miyazaki,25,Zachary,8,3,0
65,Beauty and the Beast,Roger Allers,31,Michelle,47,1,7
20,Goodfellas,Martin Scorsese,49,Tiffany,23,4,19
65,Beauty and the Beast,Roger Allers,20,Kelly,33,2,7
4,Anand,Hrishikesh Mukherjee,16,Jessica,44,5,7
45,The Dark Knight Rises,Christopher Nolan,48,Frank,43,4,12
87,Never Say Never Again,Irvin Kershner,13,Jennifer,30,5,15
50,The Intouchables,Olivier Nakache,49,Tiffany,23,5,18
45,The Dark Knight Rises,Christopher Nolan,44,Sherry,56,2,12
92,Jupiter Ascending,Lana Wachowski,49,Tiffany,23,1,19
28,Modern Times,Charles Chaplin,24,Bradley,42,5,18
46,The Departed,Martin Scorsese,21,Megan,40,2,15
96,Finding Nemo,Andrew Stanton,40,Tyler,20,4,0
95,Pushkar,Gayatri,44,Sherry,56,3,0
57,The Usual Suspects,Bryan Singer,37,Christine,58,5,0
25,La vita e bella,Roberto Benigni,49,Tiffany,23,4,19
77,My Neighbors the Yamadas,Isao Takahata,37,Christine,58,3,7
94,Ship of Theseus,Rahi Anil Barve,17,Anna,38,1,15
86,American Graffiti,George Lucas,6,Megan,41,1,7
77,My Neighbors the Yamadas,Isao Takahata,19,Kristin,55,5,7
16,Fight Club,David Fincher,7,Matthew,29,3,18
90,Samba,Olivier Nakache,38,Barbara,47,5,19
